candidate,votes,region,oblast
Путин Владимир Владимирович,8510,Тамбовская область,Кирсановская городская
Собчак Ксения Анатольевна,46,Тамбовская область,Кирсановская городская
Сурайкин Максим Александрович,36,Тамбовская область,Кирсановская городская
Титов Борис Юрьевич,21,Тамбовская область,Кирсановская городская
Явлинский Григорий Алексеевич,20,Тамбовская область,Кирсановская городская
Бабурин Сергей Николаевич,63,Тамбовская область,Котовская городская
Грудинин Павел Николаевич,1292,Тамбовская область,Котовская городская
Жириновский Владимир Вольфович,1298,Тамбовская область,Котовская городская
Путин Владимир Владимирович,16392,Тамбовская область,Котовская городская
Собчак Ксения Анатольевна,79,Тамбовская область,Котовская городская
Сурайкин Максим Александрович,62,Тамбовская область,Котовская городская
Титов Борис Юрьевич,70,Тамбовская область,Котовская городская
Явлинский Григорий Алексеевич,79,Тамбовская область,Котовская городская
Бабурин Сергей Николаевич,72,Тамбовская область,Мичуринская
Грудинин Павел Николаевич,1608,Тамбовская область,Мичуринская
Жириновский Владимир Вольфович,872,Тамбовская область,Мичуринская
Путин Владимир Владимирович,17274,Тамбовская область,Мичуринская
Собчак Ксения Анатольевна,74,Тамбовская область,Мичуринская
Сурайкин Максим Александрович,65,Тамбовская область,Мичуринская
Титов Борис Юрьевич,27,Тамбовская область,Мичуринская
Явлинский Григорий Алексеевич,32,Тамбовская область,Мичуринская
Бабурин Сергей Николаевич,261,Тамбовская область,Мичуринская городская
Грудинин Павел Николаевич,4793,Тамбовская область,Мичуринская городская
Жириновский Владимир Вольфович,2791,Тамбовская область,Мичуринская городская
Путин Владимир Владимирович,40784,Тамбовская область,Мичуринская городская
Собчак Ксения Анатольевна,396,Тамбовская область,Мичуринская городская
Сурайкин Максим Александрович,280,Тамбовская область,Мичуринская городская
Титов Борис Юрьевич,188,Тамбовская область,Мичуринская городская
Явлинский Григорий Алексеевич,188,Тамбовская область,Мичуринская городская
Бабурин Сергей Николаевич,32,Тамбовская область,Мордовская
Грудинин Павел Николаевич,985,Тамбовская область,Мордовская
Жириновский Владимир Вольфович,395,Тамбовская область,Мордовская
Путин Владимир Владимирович,8094,Тамбовская область,Мордовская
Собчак Ксения Анатольевна,40,Тамбовская область,Мордовская
Сурайкин Максим Александрович,61,Тамбовская область,Мордовская
Титов Борис Юрьевич,20,Тамбовская область,Мордовская
Явлинский Григорий Алексеевич,20,Тамбовская область,Мордовская
Бабурин Сергей Николаевич,84,Тамбовская область,Моршанская
Грудинин Павел Николаевич,1582,Тамбовская область,Моршанская
Жириновский Владимир Вольфович,871,Тамбовская область,Моршанская
Путин Владимир Владимирович,17349,Тамбовская область,Моршанская
Собчак Ксения Анатольевна,112,Тамбовская область,Моршанская
Сурайкин Максим Александрович,115,Тамбовская область,Моршанская
Титов Борис Юрьевич,75,Тамбовская область,Моршанская
Явлинский Григорий Алексеевич,57,Тамбовская область,Моршанская
Бабурин Сергей Николаевич,114,Тамбовская область,Моршанская городская
Грудинин Павел Николаевич,2860,Тамбовская область,Моршанская городская
Жириновский Владимир Вольфович,1217,Тамбовская область,Моршанская городская
Путин Владимир Владимирович,13924,Тамбовская область,Моршанская городская
Собчак Ксения Анатольевна,147,Тамбовская область,Моршанская городская
Сурайкин Максим Александрович,173,Тамбовская область,Моршанская городская
Титов Борис Юрьевич,102,Тамбовская область,Моршанская городская
Явлинский Григорий Алексеевич,88,Тамбовская область,Моршанская городская
Бабурин Сергей Николаевич,49,Тамбовская область,Мучкапская
Грудинин Павел Николаевич,734,Тамбовская область,Мучкапская
Жириновский Владимир Вольфович,431,Тамбовская область,Мучкапская
Путин Владимир Владимирович,7198,Тамбовская область,Мучкапская
Собчак Ксения Анатольевна,44,Тамбовская область,Мучкапская
Сурайкин Максим Александрович,55,Тамбовская область,Мучкапская
Титов Борис Юрьевич,19,Тамбовская область,Мучкапская
Явлинский Григорий Алексеевич,25,Тамбовская область,Мучкапская
Бабурин Сергей Николаевич,27,Тамбовская область,Никифоровская
Грудинин Павел Николаевич,445,Тамбовская область,Никифоровская
Жириновский Владимир Вольфович,304,Тамбовская область,Никифоровская
Путин Владимир Владимирович,12333,Тамбовская область,Никифоровская
Собчак Ксения Анатольевна,34,Тамбовская область,Никифоровская
Сурайкин Максим Александрович,35,Тамбовская область,Никифоровская
Титов Борис Юрьевич,18,Тамбовская область,Никифоровская
Явлинский Григорий Алексеевич,14,Тамбовская область,Никифоровская
Бабурин Сергей Николаевич,73,Тамбовская область,Первомайская
Грудинин Павел Николаевич,1314,Тамбовская область,Первомайская
Жириновский Владимир Вольфович,624,Тамбовская область,Первомайская
Путин Владимир Владимирович,13827,Тамбовская область,Первомайская
Собчак Ксения Анатольевна,61,Тамбовская область,Первомайская
Сурайкин Максим Александрович,63,Тамбовская область,Первомайская
Титов Борис Юрьевич,37,Тамбовская область,Первомайская
Явлинский Григорий Алексеевич,29,Тамбовская область,Первомайская
Бабурин Сергей Николаевич,51,Тамбовская область,Петровская
Грудинин Павел Николаевич,834,Тамбовская область,Петровская
Жириновский Владимир Вольфович,477,Тамбовская область,Петровская
Путин Владимир Владимирович,9820,Тамбовская область,Петровская
Собчак Ксения Анатольевна,50,Тамбовская область,Петровская
Сурайкин Максим Александрович,57,Тамбовская область,Петровская
Титов Борис Юрьевич,23,Тамбовская область,Петровская
Явлинский Григорий Алексеевич,36,Тамбовская область,Петровская
Бабурин Сергей Николаевич,45,Тамбовская область,Пичаевская
Грудинин Павел Николаевич,882,Тамбовская область,Пичаевская
Жириновский Владимир Вольфович,333,Тамбовская область,Пичаевская
Путин Владимир Владимирович,5490,Тамбовская область,Пичаевская
Собчак Ксения Анатольевна,37,Тамбовская область,Пичаевская
Сурайкин Максим Александрович,39,Тамбовская область,Пичаевская
Титов Борис Юрьевич,10,Тамбовская область,Пичаевская
Явлинский Григорий Алексеевич,13,Тамбовская область,Пичаевская
Бабурин Сергей Николаевич,55,Тамбовская область,Рассказовская
Грудинин Павел Николаевич,547,Тамбовская область,Рассказовская
Жириновский Владимир Вольфович,556,Тамбовская область,Рассказовская
Путин Владимир Владимирович,12065,Тамбовская область,Рассказовская
Собчак Ксения Анатольевна,66,Тамбовская область,Рассказовская
Сурайкин Максим Александрович,48,Тамбовская область,Рассказовская
Титов Борис Юрьевич,23,Тамбовская область,Рассказовская
Явлинский Григорий Алексеевич,22,Тамбовская область,Рассказовская
Бабурин Сергей Николаевич,134,Тамбовская область,Рассказовская городская
Грудинин Павел Николаевич,1452,Тамбовская область,Рассказовская городская
Жириновский Владимир Вольфович,1620,Тамбовская область,Рассказовская городская
Путин Владимир Владимирович,24227,Тамбовская область,Рассказовская городская
Собчак Ксения Анатольевна,320,Тамбовская область,Рассказовская городская
Сурайкин Максим Александрович,99,Тамбовская область,Рассказовская городская
Титов Борис Юрьевич,101,Тамбовская область,Рассказовская городская
Явлинский Григорий Алексеевич,219,Тамбовская область,Рассказовская городская
Бабурин Сергей Николаевич,40,Тамбовская область,Ржаксинская
Грудинин Павел Николаевич,859,Тамбовская область,Ржаксинская
Жириновский Владимир Вольфович,426,Тамбовская область,Ржаксинская
Путин Владимир Владимирович,9376,Тамбовская область,Ржаксинская
Собчак Ксения Анатольевна,38,Тамбовская область,Ржаксинская
Сурайкин Максим Александрович,52,Тамбовская область,Ржаксинская
Титов Борис Юрьевич,22,Тамбовская область,Ржаксинская
Явлинский Григорий Алексеевич,18,Тамбовская область,Ржаксинская
Бабурин Сергей Николаевич,35,Тамбовская область,Сампурская
Грудинин Павел Николаевич,588,Тамбовская область,Сампурская
Жириновский Владимир Вольфович,448,Тамбовская область,Сампурская
Путин Владимир Владимирович,7423,Тамбовская область,Сампурская
Собчак Ксения Анатольевна,57,Тамбовская область,Сампурская
Сурайкин Максим Александрович,49,Тамбовская область,Сампурская
Титов Борис Юрьевич,20,Тамбовская область,Сампурская
Явлинский Григорий Алексеевич,12,Тамбовская область,Сампурская
Бабурин Сергей Николаевич,99,Тамбовская область,Сосновская
Грудинин Павел Николаевич,1455,Тамбовская область,Сосновская
Жириновский Владимир Вольфович,1197,Тамбовская область,Сосновская
Путин Владимир Владимирович,17631,Тамбовская область,Сосновская
Собчак Ксения Анатольевна,71,Тамбовская область,Сосновская
Сурайкин Максим Александрович,80,Тамбовская область,Сосновская
Титов Борис Юрьевич,49,Тамбовская область,Сосновская
Явлинский Григорий Алексеевич,36,Тамбовская область,Сосновская
Бабурин Сергей Николаевич,20,Тамбовская область,Староюрьевская
Грудинин Павел Николаевич,708,Тамбовская область,Староюрьевская
Жириновский Владимир Вольфович,386,Тамбовская область,Староюрьевская
Путин Владимир Владимирович,7980,Тамбовская область,Староюрьевская
Собчак Ксения Анатольевна,56,Тамбовская область,Староюрьевская
Сурайкин Максим Александрович,24,Тамбовская область,Староюрьевская
Титов Борис Юрьевич,16,Тамбовская область,Староюрьевская
Явлинский Григорий Алексеевич,17,Тамбовская область,Староюрьевская
Бабурин Сергей Николаевич,166,Тамбовская область,Тамбов, Ленинская
Грудинин Павел Николаевич,2537,Тамбовская область,Тамбов, Ленинская
Жириновский Владимир Вольфович,879,Тамбовская область,Тамбов, Ленинская
Путин Владимир Владимирович,14270,Тамбовская область,Тамбов, Ленинская
Собчак Ксения Анатольевна,428,Тамбовская область,Тамбов, Ленинская
Сурайкин Максим Александрович,197,Тамбовская область,Тамбов, Ленинская
Титов Борис Юрьевич,165,Тамбовская область,Тамбов, Ленинская
Явлинский Григорий Алексеевич,348,Тамбовская область,Тамбов, Ленинская
Бабурин Сергей Николаевич,664,Тамбовская область,Тамбов, Октябрьская
Грудинин Павел Николаевич,10508,Тамбовская область,Тамбов, Октябрьская
Жириновский Владимир Вольфович,4507,Тамбовская область,Тамбов, Октябрьская
Путин Владимир Владимирович,60708,Тамбовская область,Тамбов, Октябрьская
Собчак Ксения Анатольевна,1476,Тамбовская область,Тамбов, Октябрьская
Сурайкин Максим Александрович,747,Тамбовская область,Тамбов, Октябрьская
Титов Борис Юрьевич,688,Тамбовская область,Тамбов, Октябрьская
Явлинский Григорий Алексеевич,997,Тамбовская область,Тамбов, Октябрьская
Бабурин Сергей Николаевич,342,Тамбовская область,Тамбов, Советская
Грудинин Павел Николаевич,5659,Тамбовская область,Тамбов, Советская
Жириновский Владимир Вольфович,2703,Тамбовская область,Тамбов, Советская
Путин Владимир Владимирович,32083,Тамбовская область,Тамбов, Советская
Собчак Ксения Анатольевна,752,Тамбовская область,Тамбов, Советская
Сурайкин Максим Александрович,377,Тамбовская область,Тамбов, Советская
Титов Борис Юрьевич,304,Тамбовская область,Тамбов, Советская
Явлинский Григорий Алексеевич,436,Тамбовская область,Тамбов, Советская
Бабурин Сергей Николаевич,284,Тамбовская область,Тамбовская
Грудинин Павел Николаевич,4739,Тамбовская область,Тамбовская
Жириновский Владимир Вольфович,3105,Тамбовская область,Тамбовская
Путин Владимир Владимирович,47519,Тамбовская область,Тамбовская
Собчак Ксения Анатольевна,400,Тамбовская область,Тамбовская
Сурайкин Максим Александрович,336,Тамбовская область,Тамбовская
Титов Борис Юрьевич,251,Тамбовская область,Тамбовская
Явлинский Григорий Алексеевич,282,Тамбовская область,Тамбовская
Бабурин Сергей Николаевич,34,Тамбовская область,Токаревская
Грудинин Павел Николаевич,515,Тамбовская область,Токаревская
Жириновский Владимир Вольфович,563,Тамбовская область,Токаревская
Путин Владимир Владимирович,10255,Тамбовская область,Токаревская
Собчак Ксения Анатольевна,38,Тамбовская область,Токаревская
Сурайкин Максим Александрович,54,Тамбовская область,Токаревская
Титов Борис Юрьевич,24,Тамбовская область,Токаревская
Явлинский Григорий Алексеевич,23,Тамбовская область,Токаревская
Бабурин Сергей Николаевич,29,Тамбовская область,Уваровская
Грудинин Павел Николаевич,312,Тамбовская область,Уваровская
Жириновский Владимир Вольфович,333,Тамбовская область,Уваровская
Путин Владимир Владимирович,6004,Тамбовская область,Уваровская
Собчак Ксения Анатольевна,28,Тамбовская область,Уваровская
Сурайкин Максим Александрович,39,Тамбовская область,Уваровская
Титов Борис Юрьевич,16,Тамбовская область,Уваровская
Явлинский Григорий Алексеевич,10,Тамбовская область,Уваровская
Бабурин Сергей Николаевич,82,Тамбовская область,Уваровская городская
Грудинин Павел Николаевич,819,Тамбовская область,Уваровская городская
Жириновский Владимир Вольфович,1139,Тамбовская область,Уваровская городская
Путин Владимир Владимирович,14430,Тамбовская область,Уваровская городская
Собчак Ксения Анатольевна,99,Тамбовская область,Уваровская городская
Сурайкин Максим Александрович,96,Тамбовская область,Уваровская городская
Титов Борис Юрьевич,47,Тамбовская область,Уваровская городская
Явлинский Григорий Алексеевич,55,Тамбовская область,Уваровская городская
Бабурин Сергей Николаевич,25,Тамбовская область,Уметская
Грудинин Павел Николаевич,387,Тамбовская область,Уметская
Жириновский Владимир Вольфович,264,Тамбовская область,Уметская
Путин Владимир Владимирович,5439,Тамбовская область,Уметская
Собчак Ксения Анатольевна,19,Тамбовская область,Уметская
Сурайкин Максим Александрович,19,Тамбовская область,Уметская
Титов Борис Юрьевич,9,Тамбовская область,Уметская
Явлинский Григорий Алексеевич,4,Тамбовская область,Уметская
Бабурин Сергей Николаевич,38,Тверская область,Андреапольская
Грудинин Павел Николаевич,458,Тверская область,Андреапольская
Жириновский Владимир Вольфович,430,Тверская область,Андреапольская
Путин Владимир Владимирович,4895,Тверская область,Андреапольская
Собчак Ксения Анатольевна,42,Тверская область,Андреапольская
Сурайкин Максим Александрович,39,Тверская область,Андреапольская
Титов Борис Юрьевич,28,Тверская область,Андреапольская
Явлинский Григорий Алексеевич,16,Тверская область,Андреапольская
Бабурин Сергей Николаевич,123,Тверская область,Бежецкая
Грудинин Павел Николаевич,2427,Тверская область,Бежецкая
Жириновский Владимир Вольфович,1108,Тверская область,Бежецкая
Путин Владимир Владимирович,10183,Тверская область,Бежецкая
Собчак Ксения Анатольевна,166,Тверская область,Бежецкая
Сурайкин Максим Александрович,124,Тверская область,Бежецкая
Титов Борис Юрьевич,107,Тверская область,Бежецкая
Явлинский Григорий Алексеевич,55,Тверская область,Бежецкая
Бабурин Сергей Николаевич,21,Тверская область,Бельская
Грудинин Павел Николаевич,486,Тверская область,Бельская
Жириновский Владимир Вольфович,176,Тверская область,Бельская
Путин Владимир Владимирович,1919,Тверская область,Бельская
Собчак Ксения Анатольевна,25,Тверская область,Бельская
Сурайкин Максим Александрович,24,Тверская область,Бельская
Титов Борис Юрьевич,9,Тверская область,Бельская
Явлинский Григорий Алексеевич,7,Тверская область,Бельская
Бабурин Сергей Николаевич,145,Тверская область,Бологовская
Грудинин Павел Николаевич,2132,Тверская область,Бологовская
Жириновский Владимир Вольфович,1574,Тверская область,Бологовская
Путин Владимир Владимирович,12097,Тверская область,Бологовская
Собчак Ксения Анатольевна,249,Тверская область,Бологовская
Сурайкин Максим Александрович,165,Тверская область,Бологовская
Титов Борис Юрьевич,129,Тверская область,Бологовская
Явлинский Григорий Алексеевич,92,Тверская область,Бологовская
Бабурин Сергей Николаевич,28,Тверская область,Весьегонская
Грудинин Павел Николаевич,539,Тверская область,Весьегонская
Жириновский Владимир Вольфович,483,Тверская область,Весьегонская
Путин Владимир Владимирович,4215,Тверская область,Весьегонская
Собчак Ксения Анатольевна,41,Тверская область,Весьегонская
Сурайкин Максим Александрович,45,Тверская область,Весьегонская
Титов Борис Юрьевич,25,Тверская область,Весьегонская
Явлинский Григорий Алексеевич,16,Тверская область,Весьегонская
Бабурин Сергей Николаевич,84,Тверская область,Вышневолоцкая
Грудинин Павел Николаевич,1267,Тверская область,Вышневолоцкая
Жириновский Владимир Вольфович,787,Тверская область,Вышневолоцкая
Путин Владимир Владимирович,8928,Тверская область,Вышневолоцкая
Собчак Ксения Анатольевна,118,Тверская область,Вышневолоцкая
Сурайкин Максим Александрович,72,Тверская область,Вышневолоцкая
Титов Борис Юрьевич,38,Тверская область,Вышневолоцкая
Явлинский Григорий Алексеевич,49,Тверская область,Вышневолоцкая
Бабурин Сергей Николаевич,147,Тверская область,Вышневолоцкая городская
Грудинин Павел Николаевич,2837,Тверская область,Вышневолоцкая городская
Жириновский Владимир Вольфович,1476,Тверская область,Вышневолоцкая городская
Путин Владимир Владимирович,15013,Тверская область,Вышневолоцкая городская
Собчак Ксения Анатольевна,242,Тверская область,Вышневолоцкая городская
Сурайкин Максим Александрович,146,Тверская область,Вышневолоцкая городская
Титов Борис Юрьевич,140,Тверская область,Вышневолоцкая городская
Явлинский Григорий Алексеевич,150,Тверская область,Вышневолоцкая городская
Бабурин Сергей Николаевич,23,Тверская область,Жарковская
Грудинин Павел Николаевич,243,Тверская область,Жарковская
Жириновский Владимир Вольфович,195,Тверская область,Жарковская
Путин Владимир Владимирович,2057,Тверская область,Жарковская
Собчак Ксения Анатольевна,31,Тверская область,Жарковская
Сурайкин Максим Александрович,23,Тверская область,Жарковская
Титов Борис Юрьевич,17,Тверская область,Жарковская
Явлинский Григорий Алексеевич,9,Тверская область,Жарковская
Бабурин Сергей Николаевич,52,Тверская область,Западнодвинская
Грудинин Павел Николаевич,1192,Тверская область,Западнодвинская
Жириновский Владимир Вольфович,550,Тверская область,Западнодвинская
Путин Владимир Владимирович,5744,Тверская область,Западнодвинская
Собчак Ксения Анатольевна,74,Тверская область,Западнодвинская
Сурайкин Максим Александрович,53,Тверская область,Западнодвинская
Титов Борис Юрьевич,35,Тверская область,Западнодвинская
Явлинский Григорий Алексеевич,32,Тверская область,Западнодвинская
Бабурин Сергей Николаевич,58,Тверская область,Зубцовская
Грудинин Павел Николаевич,1192,Тверская область,Зубцовская
Жириновский Владимир Вольфович,657,Тверская область,Зубцовская
Путин Владимир Владимирович,5756,Тверская область,Зубцовская
Собчак Ксения Анатольевна,81,Тверская область,Зубцовская
Сурайкин Максим Александрович,56,Тверская область,Зубцовская
Титов Борис Юрьевич,50,Тверская область,Зубцовская
Явлинский Григорий Алексеевич,35,Тверская область,Зубцовская
Бабурин Сергей Николаевич,130,Тверская область,Калининская
Грудинин Павел Николаевич,2667,Тверская область,Калининская
Жириновский Владимир Вольфович,1734,Тверская область,Калининская
Путин Владимир Владимирович,19114,Тверская область,Калининская
Собчак Ксения Анатольевна,390,Тверская область,Калининская
Сурайкин Максим Александрович,196,Тверская область,Калининская
Титов Борис Юрьевич,159,Тверская область,Калининская
Явлинский Григорий Алексеевич,193,Тверская область,Калининская
Бабурин Сергей Николаевич,58,Тверская область,Калязинская
Грудинин Павел Николаевич,1018,Тверская область,Калязинская
Жириновский Владимир Вольфович,701,Тверская область,Калязинская
Путин Владимир Владимирович,7764,Тверская область,Калязинская
Собчак Ксения Анатольевна,104,Тверская область,Калязинская
Сурайкин Максим Александрович,85,Тверская область,Калязинская
Титов Борис Юрьевич,47,Тверская область,Калязинская
Явлинский Григорий Алексеевич,54,Тверская область,Калязинская
Бабурин Сергей Николаевич,88,Тверская область,Кашинская
Грудинин Павел Николаевич,1621,Тверская область,Кашинская
Жириновский Владимир Вольфович,943,Тверская область,Кашинская
Путин Владимир Владимирович,8679,Тверская область,Кашинская
Собчак Ксения Анатольевна,140,Тверская область,Кашинская
Сурайкин Максим Александрович,93,Тверская область,Кашинская
Титов Борис Юрьевич,71,Тверская область,Кашинская
Явлинский Григорий Алексеевич,74,Тверская область,Кашинская
Бабурин Сергей Николаевич,23,Тверская область,Кесовогорская
Грудинин Павел Николаевич,490,Тверская область,Кесовогорская
Жириновский Владимир Вольфович,332,Тверская область,Кесовогорская
Путин Владимир Владимирович,2720,Тверская область,Кесовогорская
Собчак Ксения Анатольевна,38,Тверская область,Кесовогорская
Сурайкин Максим Александрович,25,Тверская область,Кесовогорская
Титов Борис Юрьевич,15,Тверская область,Кесовогорская
Явлинский Григорий Алексеевич,15,Тверская область,Кесовогорская
Бабурин Сергей Николаевич,43,Тверская область,Кимрская
Грудинин Павел Николаевич,681,Тверская область,Кимрская
Жириновский Владимир Вольфович,434,Тверская область,Кимрская
Путин Владимир Владимирович,4737,Тверская область,Кимрская
Собчак Ксения Анатольевна,60,Тверская область,Кимрская
Сурайкин Максим Александрович,37,Тверская область,Кимрская
Титов Борис Юрьевич,32,Тверская область,Кимрская
Явлинский Григорий Алексеевич,22,Тверская область,Кимрская
Бабурин Сергей Николаевич,185,Тверская область,Кимрская городская
Грудинин Павел Николаевич,3057,Тверская область,Кимрская городская
Жириновский Владимир Вольфович,1303,Тверская область,Кимрская городская
Путин Владимир Владимирович,16154,Тверская область,Кимрская городская
Собчак Ксения Анатольевна,303,Тверская область,Кимрская городская
Сурайкин Максим Александрович,140,Тверская область,Кимрская городская
Титов Борис Юрьевич,178,Тверская область,Кимрская городская
Явлинский Григорий Алексеевич,170,Тверская область,Кимрская городская
Бабурин Сергей Николаевич,284,Тверская область,Конаковская
Грудинин Павел Николаевич,4618,Тверская область,Конаковская
Жириновский Владимир Вольфович,2657,Тверская область,Конаковская
Путин Владимир Владимирович,30243,Тверская область,Конаковская
Собчак Ксения Анатольевна,514,Тверская область,Конаковская
Сурайкин Максим Александрович,309,Тверская область,Конаковская
Титов Борис Юрьевич,271,Тверская область,Конаковская
Явлинский Григорий Алексеевич,284,Тверская область,Конаковская
Бабурин Сергей Николаевич,41,Тверская область,Краснохолмская
Грудинин Павел Николаевич,430,Тверская область,Краснохолмская
Жириновский Владимир Вольфович,371,Тверская область,Краснохолмская
Путин Владимир Владимирович,3600,Тверская область,Краснохолмская
Собчак Ксения Анатольевна,42,Тверская область,Краснохолмская
Сурайкин Максим Александрович,36,Тверская область,Краснохолмская
Титов Борис Юрьевич,20,Тверская область,Краснохолмская
Явлинский Григорий Алексеевич,15,Тверская область,Краснохолмская
Бабурин Сергей Николаевич,49,Тверская область,Кувшиновская
Грудинин Павел Николаевич,725,Тверская область,Кувшиновская
Жириновский Владимир Вольфович,457,Тверская область,Кувшиновская
Путин Владимир Владимирович,4164,Тверская область,Кувшиновская
Собчак Ксения Анатольевна,59,Тверская область,Кувшиновская
Сурайкин Максим Александрович,44,Тверская область,Кувшиновская
Титов Борис Юрьевич,46,Тверская область,Кувшиновская
Явлинский Григорий Алексеевич,21,Тверская область,Кувшиновская
Бабурин Сергей Николаевич,18,Тверская область,Лесная
Грудинин Павел Николаевич,345,Тверская область,Лесная
Жириновский Владимир Вольфович,236,Тверская область,Лесная
Путин Владимир Владимирович,1953,Тверская область,Лесная
Собчак Ксения Анатольевна,32,Тверская область,Лесная
Сурайкин Максим Александрович,28,Тверская область,Лесная
Титов Борис Юрьевич,13,Тверская область,Лесная
Явлинский Григорий Алексеевич,8,Тверская область,Лесная
Бабурин Сергей Николаевич,79,Тверская область,Лихославльская
Грудинин Павел Николаевич,1267,Тверская область,Лихославльская
Жириновский Владимир Вольфович,896,Тверская область,Лихославльская
Путин Владимир Владимирович,10092,Тверская область,Лихославльская
Собчак Ксения Анатольевна,152,Тверская область,Лихославльская
Сурайкин Максим Александрович,89,Тверская область,Лихославльская
Титов Борис Юрьевич,84,Тверская область,Лихославльская
Явлинский Григорий Алексеевич,81,Тверская область,Лихославльская
Бабурин Сергей Николаевич,42,Тверская область,Максатихинская
Грудинин Павел Николаевич,896,Тверская область,Максатихинская
Жириновский Владимир Вольфович,624,Тверская область,Максатихинская
Путин Владимир Владимирович,4926,Тверская область,Максатихинская
Собчак Ксения Анатольевна,52,Тверская область,Максатихинская
Сурайкин Максим Александрович,55,Тверская область,Максатихинская
Титов Борис Юрьевич,28,Тверская область,Максатихинская
Явлинский Григорий Алексеевич,29,Тверская область,Максатихинская
Бабурин Сергей Николаевич,15,Тверская область,Молоковская
Грудинин Павел Николаевич,177,Тверская область,Молоковская
Жириновский Владимир Вольфович,193,Тверская область,Молоковская
Путин Владимир Владимирович,1759,Тверская область,Молоковская
Собчак Ксения Анатольевна,24,Тверская область,Молоковская
Сурайкин Максим Александрович,20,Тверская область,Молоковская
Титов Борис Юрьевич,9,Тверская область,Молоковская
Явлинский Григорий Алексеевич,12,Тверская область,Молоковская
