candidate,votes,region,oblast
Бабурин Сергей Николаевич,46,Республика Башкортостан,Белокатайская
Грудинин Павел Николаевич,1818,Республика Башкортостан,Белокатайская
Жириновский Владимир Вольфович,533,Республика Башкортостан,Белокатайская
Путин Владимир Владимирович,9811,Республика Башкортостан,Белокатайская
Собчак Ксения Анатольевна,51,Республика Башкортостан,Белокатайская
Сурайкин Максим Александрович,75,Республика Башкортостан,Белокатайская
Титов Борис Юрьевич,43,Республика Башкортостан,Белокатайская
Явлинский Григорий Алексеевич,32,Республика Башкортостан,Белокатайская
Бабурин Сергей Николаевич,337,Республика Башкортостан,Белорецкая
Грудинин Павел Николаевич,6703,Республика Башкортостан,Белорецкая
Жириновский Владимир Вольфович,3408,Республика Башкортостан,Белорецкая
Путин Владимир Владимирович,42415,Республика Башкортостан,Белорецкая
Собчак Ксения Анатольевна,718,Республика Башкортостан,Белорецкая
Сурайкин Максим Александрович,577,Республика Башкортостан,Белорецкая
Титов Борис Юрьевич,325,Республика Башкортостан,Белорецкая
Явлинский Григорий Алексеевич,281,Республика Башкортостан,Белорецкая
Бабурин Сергей Николаевич,95,Республика Башкортостан,Бижбулякская
Грудинин Павел Николаевич,1361,Республика Башкортостан,Бижбулякская
Жириновский Владимир Вольфович,711,Республика Башкортостан,Бижбулякская
Путин Владимир Владимирович,12711,Республика Башкортостан,Бижбулякская
Собчак Ксения Анатольевна,146,Республика Башкортостан,Бижбулякская
Сурайкин Максим Александрович,142,Республика Башкортостан,Бижбулякская
Титов Борис Юрьевич,77,Республика Башкортостан,Бижбулякская
Явлинский Григорий Алексеевич,35,Республика Башкортостан,Бижбулякская
Бабурин Сергей Николаевич,87,Республика Башкортостан,Благоварская
Грудинин Павел Николаевич,1956,Республика Башкортостан,Благоварская
Жириновский Владимир Вольфович,836,Республика Башкортостан,Благоварская
Путин Владимир Владимирович,13043,Республика Башкортостан,Благоварская
Собчак Ксения Анатольевна,107,Республика Башкортостан,Благоварская
Сурайкин Максим Александрович,125,Республика Башкортостан,Благоварская
Титов Борис Юрьевич,83,Республика Башкортостан,Благоварская
Явлинский Григорий Алексеевич,76,Республика Башкортостан,Благоварская
Бабурин Сергей Николаевич,120,Республика Башкортостан,Благовещенская
Грудинин Павел Николаевич,2568,Республика Башкортостан,Благовещенская
Жириновский Владимир Вольфович,1673,Республика Башкортостан,Благовещенская
Путин Владимир Владимирович,20180,Республика Башкортостан,Благовещенская
Собчак Ксения Анатольевна,223,Республика Башкортостан,Благовещенская
Сурайкин Максим Александрович,171,Республика Башкортостан,Благовещенская
Титов Борис Юрьевич,115,Республика Башкортостан,Благовещенская
Явлинский Григорий Алексеевич,113,Республика Башкортостан,Благовещенская
Бабурин Сергей Николаевич,94,Республика Башкортостан,Буздякская
Грудинин Павел Николаевич,2518,Республика Башкортостан,Буздякская
Жириновский Владимир Вольфович,795,Республика Башкортостан,Буздякская
Путин Владимир Владимирович,13758,Республика Башкортостан,Буздякская
Собчак Ксения Анатольевна,185,Республика Башкортостан,Буздякская
Сурайкин Максим Александрович,178,Республика Башкортостан,Буздякская
Титов Борис Юрьевич,81,Республика Башкортостан,Буздякская
Явлинский Григорий Алексеевич,63,Республика Башкортостан,Буздякская
Бабурин Сергей Николаевич,66,Республика Башкортостан,Бураевская
Грудинин Павел Николаевич,1947,Республика Башкортостан,Бураевская
Жириновский Владимир Вольфович,564,Республика Башкортостан,Бураевская
Путин Владимир Владимирович,12254,Республика Башкортостан,Бураевская
Собчак Ксения Анатольевна,122,Республика Башкортостан,Бураевская
Сурайкин Максим Александрович,130,Республика Башкортостан,Бураевская
Титов Борис Юрьевич,58,Республика Башкортостан,Бураевская
Явлинский Григорий Алексеевич,43,Республика Башкортостан,Бураевская
Бабурин Сергей Николаевич,46,Республика Башкортостан,Бурзянская
Грудинин Павел Николаевич,1800,Республика Башкортостан,Бурзянская
Жириновский Владимир Вольфович,380,Республика Башкортостан,Бурзянская
Путин Владимир Владимирович,6947,Республика Башкортостан,Бурзянская
Собчак Ксения Анатольевна,152,Республика Башкортостан,Бурзянская
Сурайкин Максим Александрович,83,Республика Башкортостан,Бурзянская
Титов Борис Юрьевич,51,Республика Башкортостан,Бурзянская
Явлинский Григорий Алексеевич,38,Республика Башкортостан,Бурзянская
Бабурин Сергей Николаевич,78,Республика Башкортостан,Гафурийская
Грудинин Павел Николаевич,2087,Республика Башкортостан,Гафурийская
Жириновский Владимир Вольфович,727,Республика Башкортостан,Гафурийская
Путин Владимир Владимирович,17904,Республика Башкортостан,Гафурийская
Собчак Ксения Анатольевна,113,Республика Башкортостан,Гафурийская
Сурайкин Максим Александрович,125,Республика Башкортостан,Гафурийская
Титов Борис Юрьевич,70,Республика Башкортостан,Гафурийская
Явлинский Григорий Алексеевич,54,Республика Башкортостан,Гафурийская
Бабурин Сергей Николаевич,218,Республика Башкортостан,Давлекановская
Грудинин Павел Николаевич,3317,Республика Башкортостан,Давлекановская
Жириновский Владимир Вольфович,2147,Республика Башкортостан,Давлекановская
Путин Владимир Владимирович,15421,Республика Башкортостан,Давлекановская
Собчак Ксения Анатольевна,199,Республика Башкортостан,Давлекановская
Сурайкин Максим Александрович,261,Республика Башкортостан,Давлекановская
Титов Борис Юрьевич,181,Республика Башкортостан,Давлекановская
Явлинский Григорий Алексеевич,193,Республика Башкортостан,Давлекановская
Бабурин Сергей Николаевич,96,Республика Башкортостан,Дуванская
Грудинин Павел Николаевич,2264,Республика Башкортостан,Дуванская
Жириновский Владимир Вольфович,977,Республика Башкортостан,Дуванская
Путин Владимир Владимирович,14070,Республика Башкортостан,Дуванская
Собчак Ксения Анатольевна,123,Республика Башкортостан,Дуванская
Сурайкин Максим Александрович,128,Республика Башкортостан,Дуванская
Титов Борис Юрьевич,70,Республика Башкортостан,Дуванская
Явлинский Григорий Алексеевич,64,Республика Башкортостан,Дуванская
Бабурин Сергей Николаевич,207,Республика Башкортостан,Дюртюлинская
Грудинин Павел Николаевич,4022,Республика Башкортостан,Дюртюлинская
Жириновский Владимир Вольфович,1099,Республика Башкортостан,Дюртюлинская
Путин Владимир Владимирович,31796,Республика Башкортостан,Дюртюлинская
Собчак Ксения Анатольевна,345,Республика Башкортостан,Дюртюлинская
Сурайкин Максим Александрович,420,Республика Башкортостан,Дюртюлинская
Титов Борис Юрьевич,225,Республика Башкортостан,Дюртюлинская
Явлинский Григорий Алексеевич,223,Республика Башкортостан,Дюртюлинская
Бабурин Сергей Николаевич,45,Республика Башкортостан,Ермекеевская
Грудинин Павел Николаевич,1144,Республика Башкортостан,Ермекеевская
Жириновский Владимир Вольфович,410,Республика Башкортостан,Ермекеевская
Путин Владимир Владимирович,7652,Республика Башкортостан,Ермекеевская
Собчак Ксения Анатольевна,65,Республика Башкортостан,Ермекеевская
Сурайкин Максим Александрович,59,Республика Башкортостан,Ермекеевская
Титов Борис Юрьевич,33,Республика Башкортостан,Ермекеевская
Явлинский Григорий Алексеевич,26,Республика Башкортостан,Ермекеевская
Бабурин Сергей Николаевич,65,Республика Башкортостан,Зианчуринская
Грудинин Павел Николаевич,1984,Республика Башкортостан,Зианчуринская
Жириновский Владимир Вольфович,505,Республика Башкортостан,Зианчуринская
Путин Владимир Владимирович,14358,Республика Башкортостан,Зианчуринская
Собчак Ксения Анатольевна,117,Республика Башкортостан,Зианчуринская
Сурайкин Максим Александрович,104,Республика Башкортостан,Зианчуринская
Титов Борис Юрьевич,61,Республика Башкортостан,Зианчуринская
Явлинский Григорий Алексеевич,69,Республика Башкортостан,Зианчуринская
Бабурин Сергей Николаевич,47,Республика Башкортостан,Зилаирская
Грудинин Павел Николаевич,1080,Республика Башкортостан,Зилаирская
Жириновский Владимир Вольфович,434,Республика Башкортостан,Зилаирская
Путин Владимир Владимирович,8330,Республика Башкортостан,Зилаирская
Собчак Ксения Анатольевна,88,Республика Башкортостан,Зилаирская
Сурайкин Максим Александрович,111,Республика Башкортостан,Зилаирская
Титов Борис Юрьевич,62,Республика Башкортостан,Зилаирская
Явлинский Григорий Алексеевич,25,Республика Башкортостан,Зилаирская
Бабурин Сергей Николаевич,169,Республика Башкортостан,Иглинская
Грудинин Павел Николаевич,3078,Республика Башкортостан,Иглинская
Жириновский Владимир Вольфович,1572,Республика Башкортостан,Иглинская
Путин Владимир Владимирович,23165,Республика Башкортостан,Иглинская
Собчак Ксения Анатольевна,306,Республика Башкортостан,Иглинская
